127.0.0.1 - - [11/Dec/2015:00:13:48 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:14:15 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/14 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:14:19 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/ HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:14:23 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/0 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:42 -0800] "GET /angular-jaxrs-demo/webapi/ctofservice/0 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:46 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:47 -0800] "GET /angular-jaxrs-demo/partials/home.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:44:47 -0800] "GET /angular-jaxrs-demo/favicon.ico HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:34 -0800] "GET /angular-jaxrs-demo/js/angular.min.js.map HTTP/1.1" 200 348935
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:35 -0800] "GET /angular-jaxrs-demo/partials/home.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2015:00:45:42 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
